case_id,age_group,scam_type,contact_method,source_platform,requires_user_action,payment_method,urgency_level,loss_bucket,transaction_amount,is_scam
58,30-49,Job,Online Shopping Platform,Carousell,1,E-wallet,Low,50k-100k,66737.14,1
59,30-49,Phishing,Other Website,Website,1,Card,Medium,<2k,838.38,1
60,<20,Others,Phone Call,Phone,1,Card,High,2k-5k,2198.29,1
61,30-49,Others,Social Media,Facebook,1,Card,High,<2k,857.99,1
62,30-49,Job,Social Media,Instagram,1,E-wallet,High,50k-100k,97229.96,1
63,30-49,Job,Messaging,Telegram,0,Bank Transfer,Medium,5k-10k,8100.78,1
64,30-49,Investment,Social Media,Facebook,1,Bank Transfer,Low,10k-50k,23585.35,1
65,30-49,Phishing,Messaging,WhatsApp,0,Card,Medium,<2k,569.54,1
66,50-64,Others,Messaging,Facebook Messenger,1,Bank Transfer,Medium,<2k,924.1,1
67,30-49,Sexual Services,Messaging,WhatsApp,0,E-wallet,High,<2k,1165.03,1
68,50-64,Investment,Social Media,Facebook,1,Bank Transfer,Medium,10k-50k,32523.21,1
69,20-29,Others,Phone Call,Phone,0,E-wallet,Medium,<2k,330.57,1
70,50-64,Job,Messaging,Telegram,1,Bank Transfer,Medium,2k-5k,2917.32,1
71,65+,Investment,Messaging,WhatsApp,1,Crypto,Medium,5k-10k,8465.58,1
72,50-64,Phishing,Other Website,Website,0,Card,Medium,2k-5k,2257.25,1
73,30-49,Others,Social Media,Facebook,1,Card,High,<2k,565.87,1
74,20-29,Job,Social Media,Facebook,1,Bank Transfer,High,100k+,111219.49,1
75,30-49,Investment,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,High,<2k,303.3,1
76,50-64,Phishing,Phone Call,Phone,0,E-wallet,Medium,<2k,1943.38,1
77,30-49,Phishing,Social Media,Facebook,0,Bank Transfer,High,<2k,157.72,1
78,50-64,Others,Messaging,WhatsApp,0,Bank Transfer,High,<2k,823.79,1
79,65+,Job,Phone Call,Phone,1,Bank Transfer,Low,<2k,93.19,1
80,65+,Phishing,Online Shopping Platform,Carousell,0,Card,Low,<2k,691.62,1
81,30-49,Phishing,Phone Call,Phone,0,Card,High,2k-5k,4839.24,1
82,50-64,E-commerce,Social Media,TikTok,0,Bank Transfer,Low,5k-10k,7082.95,1
83,30-49,Sexual Services,Social Media,TikTok,1,Bank Transfer,Medium,<2k,324.66,1
84,20-29,E-commerce,Phone Call,Phone,1,Bank Transfer,High,<2k,131.28,1
85,30-49,Phishing,Social Media,Facebook,1,Bank Transfer,Medium,<2k,54.11,1
86,65+,E-commerce,Messaging,Telegram,0,Card,Low,<2k,93.15,1
87,50-64,Investment,Social Media,Facebook,1,Card,Medium,100k+,188368.19,1
88,65+,Internet Love,Social Media,Facebook,1,Bank Transfer,Medium,2k-5k,4841.47,1
89,20-29,Investment,Social Media,Facebook,1,Crypto,Medium,2k-5k,3159.09,1
90,30-49,Job,Phone Call,Phone,0,Bank Transfer,High,<2k,654.13,1
91,30-49,Phishing,Phone Call,Phone,0,Card,Medium,2k-5k,4305.12,1
92,30-49,Phishing,Social Media,Facebook,0,Card,Medium,50k-100k,61944.92,1
93,20-29,Job,Social Media,TikTok,1,Bank Transfer,Medium,100k+,111349.27,1
94,20-29,Phishing,Social Media,TikTok,0,Bank Transfer,Low,<2k,537.26,1
95,50-64,E-commerce,Messaging,Facebook Messenger,1,Card,Low,<2k,419.29,1
96,20-29,Job,Social Media,Facebook,0,Bank Transfer,Medium,10k-50k,21208.18,1
97,30-49,Others,Social Media,TikTok,0,Card,Medium,<2k,313.41,1
98,50-64,Phishing,Phone Call,Phone,0,Card,High,2k-5k,2388.84,1
99,50-64,Others,Social Media,Facebook,1,Card,Low,<2k,175.3,1
100,50-64,Phishing,Social Media,Facebook,0,Card,High,<2k,899.48,1
101,50-64,Others,Social Media,Facebook,1,Bank Transfer,Medium,2k-5k,2444.38,1
102,20-29,E-commerce,Online Shopping Platform,Carousell,0,Bank Transfer,Medium,2k-5k,4452.45,1
103,50-64,Fake Friend Call,Messaging,WhatsApp,1,Bank Transfer,Medium,2k-5k,4597.78,1
104,50-64,E-commerce,Social Media,Instagram,1,Card,Low,<2k,287.79,1
105,65+,Fake Friend Call,Other Website,Website,0,PayNow/Transfer,Medium,<2k,422.69,1
106,30-49,Government Impersonation,Social Media,Facebook,1,Bank Transfer,Medium,10k-50k,38516.09,1
107,20-29,Phishing,Social Media,TikTok,1,Card,Medium,<2k,347.4,1
108,65+,Investment,Social Media,Other Social,1,Card,High,10k-50k,29388.54,1
109,20-29,Phishing,Social Media,TikTok,0,Card,Medium,<2k,207.04,1
110,30-49,Insurance Services,Messaging,WhatsApp,1,Bank Transfer,Medium,10k-50k,13072.72,1
111,30-49,Phishing,Messaging,WhatsApp,0,Bank Transfer,Medium,2k-5k,2696.03,1
112,<20,Insurance Services,Messaging,WhatsApp,1,Card,High,<2k,646.34,1
113,65+,Investment,Phone Call,Phone,1,Crypto,High,<2k,145.48,1
114,65+,Investment,Messaging,Other Messaging,1,Bank Transfer,Medium,50k-100k,59901.66,1
115,20-29,Internet Love,Social Media,TikTok,0,Cash/Valuables,Medium,10k-50k,19310.75,1
116,20-29,Government Impersonation,Messaging,WhatsApp,1,Bank Transfer,High,5k-10k,5153.43,1
117,50-64,Investment,Social Media,Facebook,1,Crypto,High,100k+,141594.41,1
118,20-29,Job,Social Media,Facebook,1,Bank Transfer,High,<2k,487.53,1
119,50-64,Phishing,Other Website,Website,0,Card,Medium,<2k,113.15,1
120,20-29,Phishing,Social Media,Facebook,1,Bank Transfer,Medium,<2k,489.62,1
121,30-49,Others,Phone Call,Phone,0,Bank Transfer,High,<2k,228.79,1
122,20-29,Job,Messaging,Telegram,0,Bank Transfer,Medium,10k-50k,14478.79,1
123,65+,Phishing,Social Media,Facebook,1,Card,Medium,2k-5k,2470.67,1
124,50-64,Phishing,Phone Call,Phone,1,Card,Medium,2k-5k,2016.9,1
125,20-29,Job,Messaging,Other Messaging,1,E-wallet,Low,100k+,108131.74,1
126,20-29,E-commerce,Social Media,TikTok,1,Bank Transfer,Low,10k-50k,20658.41,1
127,30-49,Job,Phone Call,Phone,1,Card,High,10k-50k,48517.63,1
128,50-64,Phishing,Messaging,Telegram,0,Bank Transfer,Low,<2k,538.6,1
129,50-64,Phishing,Messaging,WhatsApp,1,Card,High,<2k,392.25,1
130,20-29,Internet Love,Phone Call,Phone,1,Bank Transfer,Medium,<2k,1036.29,1
131,50-64,E-commerce,Online Shopping Platform,Carousell,0,E-wallet,Low,<2k,814.68,1
132,65+,Insurance Services,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,100k+,135150.49,1
133,30-49,E-commerce,Online Shopping Platform,TikTok Shop,1,Bank Transfer,Medium,5k-10k,9947.78,1
134,50-64,Job,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,100k+,118231.18,1
135,50-64,Sexual Services,Social Media,TikTok,1,Bank Transfer,Low,<2k,191.19,1
136,30-49,E-commerce,Phone Call,Phone,0,Bank Transfer,Low,<2k,415.54,1
137,20-29,Fake Friend Call,Social Media,TikTok,1,PayNow/Transfer,Medium,<2k,525.85,1
138,30-49,Phishing,Messaging,WhatsApp,1,Card,Medium,<2k,454.75,1
139,50-64,Fake Friend Call,Messaging,Telegram,1,Bank Transfer,High,10k-50k,48302.87,1
140,20-29,E-commerce,Online Shopping Platform,Carousell,1,Card,Low,<2k,1249.56,1
141,<20,E-commerce,Online Shopping Platform,Carousell,1,E-wallet,Medium,<2k,189.88,1
142,50-64,E-commerce,Social Media,Facebook,1,E-wallet,Low,2k-5k,2010.17,1
143,30-49,Job,Email,Email,1,Bank Transfer,Medium,10k-50k,15475.7,1
144,20-29,Job,Messaging,WhatsApp,1,E-wallet,High,<2k,486.68,1
145,65+,Investment,Social Media,Facebook,1,Crypto,Medium,2k-5k,2753.08,1
146,30-49,Loan,Other Website,Website,1,Bank Transfer,High,<2k,188.46,1
147,50-64,Phishing,Online Shopping Platform,Carousell,0,Bank Transfer,Low,<2k,840.31,1
148,30-49,Job,Online Shopping Platform,Carousell,1,Bank Transfer,High,<2k,1112.52,1
149,20-29,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,High,<2k,837.17,1
150,65+,Investment,Social Media,Other Social,1,Card,Medium,<2k,402.94,1
151,50-64,Job,Phone Call,Phone,1,Bank Transfer,High,10k-50k,14896.28,1
152,65+,Investment,Social Media,Facebook,1,Bank Transfer,Medium,100k+,200189.81,1
153,50-64,Government Impersonation,Phone Call,Phone,1,Bank Transfer,High,10k-50k,32459.2,1
154,30-49,Others,Social Media,Other Social,1,E-wallet,Low,<2k,244.47,1
155,50-64,Investment,Social Media,Facebook,1,Bank Transfer,High,10k-50k,28513.93,1
156,20-29,E-commerce,Messaging,WhatsApp,1,Bank Transfer,Medium,<2k,545.99,1
157,30-49,Government Impersonation,Other Website,Website,0,Cash/Valuables,High,10k-50k,21246.5,1
158,30-49,E-commerce,Social Media,Facebook,0,Bank Transfer,Medium,<2k,72.66,1
159,65+,Investment,Social Media,Facebook,1,Crypto,Medium,100k+,186348.94,1
160,65+,Sexual Services,Messaging,WhatsApp,1,Bank Transfer,Low,<2k,918.56,1
161,50-64,E-commerce,SMS,SMS,0,Bank Transfer,Low,10k-50k,17183.94,1
162,20-29,E-commerce,Online Shopping Platform,Carousell,1,Card,Medium,<2k,368.65,1
163,30-49,Investment,Messaging,Telegram,1,Bank Transfer,Low,2k-5k,2267.29,1
164,30-49,Others,Social Media,TikTok,1,Bank Transfer,Medium,50k-100k,71977.97,1
165,30-49,Sexual Services,Social Media,Instagram,1,Bank Transfer,Medium,<2k,275.76,1
166,30-49,Loan,Email,Email,1,Card,High,<2k,449.5,1
167,50-64,Internet Love,Messaging,WhatsApp,1,Bank Transfer,High,5k-10k,8892.27,1
168,50-64,E-commerce,Social Media,Facebook,1,Bank Transfer,Low,<2k,1684.64,1
169,20-29,Job,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,Medium,10k-50k,20021.41,1
170,20-29,Phishing,Social Media,Facebook,1,Card,Medium,<2k,738.74,1
171,50-64,Investment,Messaging,Facebook Messenger,0,Crypto,High,10k-50k,16162.14,1
172,20-29,Others,Online Shopping Platform,Carousell,1,Crypto,Medium,<2k,161.13,1
173,30-49,E-commerce,Other Website,Website,0,Card,Medium,<2k,568.0,1
174,30-49,Phishing,Messaging,Telegram,1,Card,Medium,<2k,329.15,1
175,50-64,Phishing,Social Media,Facebook,1,Card,Low,<2k,272.85,1
176,50-64,Phishing,Social Media,Facebook,1,Bank Transfer,High,10k-50k,40279.82,1
177,20-29,E-commerce,Messaging,Telegram,1,Bank Transfer,High,<2k,261.41,1
178,30-49,Phishing,Social Media,Instagram,1,Card,Medium,<2k,598.28,1
179,30-49,Others,Dating App/Website,Dating Platform,1,Bank Transfer,Low,<2k,882.79,1
180,20-29,Fake Friend Call,Messaging,Facebook Messenger,1,Bank Transfer,Medium,<2k,591.95,1
181,65+,Job,Social Media,Facebook,1,E-wallet,High,50k-100k,63110.0,1
182,20-29,E-commerce,Social Media,Facebook,1,Card,Low,<2k,129.99,1
183,30-49,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,<2k,266.12,1
184,30-49,Investment,Online Shopping Platform,Carousell,1,Bank Transfer,High,100k+,151196.33,1
185,50-64,Phishing,Social Media,Facebook,0,Card,High,<2k,607.45,1
186,50-64,E-commerce,Social Media,Facebook,1,Card,High,<2k,1728.33,1
187,30-49,Investment,Messaging,WhatsApp,1,Bank Transfer,High,100k+,138108.2,1
188,30-49,Investment,Online Shopping Platform,Carousell,1,Bank Transfer,Medium,50k-100k,72956.31,1
189,50-64,Others,Phone Call,Phone,1,Card,Medium,2k-5k,2712.12,1
190,20-29,E-commerce,Phone Call,Phone,0,Card,Low,2k-5k,3138.36,1
191,65+,Phishing,Phone Call,Phone,0,Bank Transfer,High,100k+,127057.64,1
192,30-49,E-commerce,Social Media,Facebook,0,Bank Transfer,Low,<2k,458.71,1
193,50-64,Internet Love,Online Shopping Platform,Carousell,0,Crypto,Low,5k-10k,8965.11,1
194,30-49,Government Impersonation,Phone Call,Phone,1,Bank Transfer,High,<2k,562.72,1
195,30-49,Investment,Social Media,Facebook,1,Bank Transfer,High,10k-50k,30891.38,1
196,30-49,Phishing,Phone Call,Phone,0,Bank Transfer,Medium,2k-5k,2906.85,1
197,65+,Investment,Social Media,Facebook,1,Card,Medium,50k-100k,73636.97,1
198,<20,E-commerce,Online Shopping Platform,Facebook Marketplace,0,Bank Transfer,Low,<2k,193.48,1
199,50-64,Phishing,Social Media,TikTok,0,E-wallet,High,2k-5k,4284.56,1
200,65+,E-commerce,Phone Call,Phone,1,E-wallet,Medium,<2k,129.94,1
201,30-49,Others,Dating App/Website,Dating Platform,1,Card,High,<2k,482.82,1
202,65+,Others,Messaging,Other Messaging,1,Crypto,Medium,<2k,490.93,1
203,30-49,Phishing,Email,Email,0,E-wallet,Medium,10k-50k,12502.76,1
204,65+,Investment,Messaging,Telegram,1,Bank Transfer,High,<2k,630.95,1
205,50-64,Job,Social Media,Instagram,1,Bank Transfer,Medium,10k-50k,18693.31,1
206,30-49,Loan,Messaging,WhatsApp,1,Bank Transfer,Low,<2k,162.2,1
207,50-64,Phishing,Streaming Service,Streaming Platform,1,Card,Medium,<2k,151.42,1
208,65+,Investment,Social Media,Facebook,1,Bank Transfer,Medium,10k-50k,30495.48,1
209,30-49,Investment,Social Media,TikTok,1,Bank Transfer,High,<2k,1201.61,1
210,30-49,Government Impersonation,Phone Call,Phone,1,Bank Transfer,High,<2k,341.62,1
211,50-64,Government Impersonation,Social Media,Instagram,1,Card,High,100k+,224717.88,1
212,30-49,Fake Friend Call,Social Media,TikTok,1,Bank Transfer,Medium,2k-5k,4622.67,1
213,30-49,Job,Streaming Service,Streaming Platform,1,Bank Transfer,Medium,5k-10k,7207.39,1
214,50-64,Others,Messaging,Telegram,1,Card,Low,10k-50k,14831.37,1
215,20-29,E-commerce,Social Media,Facebook,0,E-wallet,Low,10k-50k,14469.68,1
216,65+,Phishing,Phone Call,Phone,0,Bank Transfer,Medium,2k-5k,4477.79,1
217,30-49,Investment,Social Media,Facebook,1,Crypto,Low,10k-50k,23084.33,1
218,20-29,Phishing,Online Shopping Platform,Carousell,1,Card,Medium,<2k,623.36,1
219,65+,Others,Social Media,TikTok,1,Crypto,Medium,5k-10k,6860.65,1
220,20-29,Job,Social Media,Facebook,1,E-wallet,Medium,100k+,112328.96,1
221,65+,Phishing,Social Media,Facebook,1,Card,Low,<2k,395.37,1
222,65+,Sexual Services,Phone Call,Phone,1,E-wallet,Low,<2k,513.44,1
223,50-64,Phishing,Social Media,Facebook,0,Card,High,50k-100k,55882.93,1
224,65+,Job,Phone Call,Phone,0,E-wallet,High,2k-5k,3999.41,1
225,50-64,Others,Phone Call,Phone,1,Card,Medium,10k-50k,11237.75,1
226,30-49,Insurance Services,Social Media,Facebook,1,Bank Transfer,Medium,<2k,564.65,1
227,30-49,Phishing,Social Media,TikTok,0,Bank Transfer,Medium,<2k,148.67,1
228,30-49,Phishing,Phone Call,Phone,0,Bank Transfer,High,10k-50k,48220.19,1
229,50-64,Loan,Online Shopping Platform,Facebook Marketplace,1,Bank Transfer,Medium,<2k,88.0,1
230,50-64,Phishing,Messaging,WhatsApp,0,Card,Medium,<2k,333.63,1
231,30-49,E-commerce,Social Media,Facebook,1,Bank Transfer,Medium,<2k,761.04,1
232,20-29,E-commerce,Dating App/Website,Dating Platform,1,Bank Transfer,High,<2k,636.51,1
233,20-29,Government Impersonation,Phone Call,Phone,1,Card,Medium,5k-10k,7826.91,1
234,50-64,Investment,Social Media,Instagram,1,Bank Transfer,Medium,2k-5k,3590.24,1
235,30-49,Others,Social Media,Facebook,0,Bank Transfer,High,<2k,930.92,1
236,30-49,Phishing,Messaging,Telegram,0,Card,Low,5k-10k,5685.14,1
237,30-49,Others,Social Media,Instagram,0,Bank Transfer,High,<2k,227.06,1
238,50-64,Phishing,Social Media,Facebook,0,E-wallet,Low,<2k,518.53,1
239,30-49,E-commerce,Social Media,TikTok,1,Bank Transfer,Low,<2k,696.55,1
240,50-64,Investment,Messaging,Telegram,1,Card,High,100k+,118643.34,1
241,20-29,Job,Messaging,Telegram,1,Bank Transfer,High,<2k,599.01,1
242,30-49,Phishing,Social Media,Facebook,1,Card,High,50k-100k,98970.22,1
243,30-49,E-commerce,Social Media,TikTok,1,Card,Medium,<2k,66.33,1
244,30-49,Phishing,Phone Call,Phone,0,Card,Medium,<2k,343.04,1
245,<20,Phishing,Social Media,Facebook,1,Card,Medium,<2k,198.06,1
246,30-49,Job,Messaging,WhatsApp,1,Bank Transfer,High,10k-50k,28143.35,1
247,20-29,Fake Friend Call,Social Media,Instagram,1,Bank Transfer,High,<2k,79.26,1
248,30-49,Investment,Messaging,Facebook Messenger,1,Bank Transfer,Medium,100k+,137967.77,1
249,30-49,Job,Messaging,Telegram,1,Crypto,Medium,2k-5k,4211.74,1
250,65+,E-commerce,Online Shopping Platform,Carousell,0,Bank Transfer,Medium,10k-50k,25927.74,1
251,30-49,Government Impersonation,Messaging,Telegram,1,Bank Transfer,High,50k-100k,56604.45,1
252,65+,Phishing,Other Website,Website,0,Card,Medium,2k-5k,4811.92,1
253,50-64,Others,Other Website,Website,1,Bank Transfer,Medium,<2k,1417.46,1
254,65+,Government Impersonation,Phone Call,Phone,1,Bank Transfer,Medium,100k+,112543.05,1
255,<20,E-commerce,Online Shopping Platform,Carousell,1,Card,Medium,<2k,395.1,1
256,50-64,Job,Social Media,TikTok,1,Bank Transfer,High,10k-50k,21237.78,1
257,20-29,Phishing,Social Media,Facebook,0,Card,High,<2k,447.83,1
258,30-49,E-commerce,Social Media,Instagram,1,Bank Transfer,Medium,<2k,722.42,1
259,30-49,Sexual Services,Messaging,WhatsApp,1,Bank Transfer,Low,10k-50k,12002.22,1
260,65+,Others,Social Media,Facebook,1,Card,Low,2k-5k,3658.43,1
261,50-64,Job,Phone Call,Phone,0,E-wallet,Medium,10k-50k,21659.04,1
262,30-49,Investment,Social Media,Facebook,1,Bank Transfer,Medium,100k+,147074.49,1
263,65+,E-commerce,Online Shopping Platform,Carousell,0,Bank Transfer,Low,2k-5k,2682.16,1
264,30-49,Investment,Online Shopping Platform,Carousell,1,Bank Transfer,High,10k-50k,26963.09,1
265,<20,Phishing,Social Media,Facebook,1,Card,High,<2k,209.13,1
266,50-64,Fake Friend Call,Social Media,Facebook,1,PayNow/Transfer,Medium,<2k,1087.22,1
267,20-29,Investment,Social Media,Facebook,1,Bank Transfer,High,<2k,656.26,1
268,30-49,Insurance Services,Other Website,Website,1,Bank Transfer,Low,2k-5k,4826.8,1
269,30-49,Others,Social Media,Facebook,1,Card,Medium,<2k,72.71,1
270,30-49,Phishing,Social Media,Facebook,0,Card,Medium,<2k,148.83,1
271,20-29,E-commerce,Online Shopping Platform,Facebook Marketplace,0,Card,High,<2k,50.0,1
272,50-64,Phishing,Social Media,Facebook,0,Bank Transfer,Medium,100k+,128948.33,1
273,50-64,Insurance Services,Phone Call,Phone,1,Card,Medium,<2k,1052.37,1
274,30-49,Job,Other Website,Website,1,E-wallet,Low,<2k,1628.71,1
275,65+,Investment,Social Media,TikTok,1,Crypto,Medium,100k+,177576.62,1
276,<20,Investment,Messaging,Telegram,1,Crypto,Low,<2k,196.75,1
277,30-49,E-commerce,Social Media,Facebook,1,E-wallet,Medium,<2k,296.61,1
278,65+,Phishing,Social Media,TikTok,0,Card,Medium,<2k,664.56,1
279,65+,Others,Social Media,Other Social,1,Bank Transfer,Low,<2k,907.43,1
280,50-64,Others,Phone Call,Phone,0,Crypto,Low,50k-100k,55090.34,1
281,30-49,Investment,Social Media,Facebook,1,Bank Transfer,Medium,2k-5k,2679.58,1
282,<20,E-commerce,Social Media,Facebook,1,Bank Transfer,Low,<2k,299.26,1
283,30-49,Fake Friend Call,Messaging,WhatsApp,1,Bank Transfer,Medium,<2k,197.03,1
284,50-64,Phishing,Phone Call,Phone,0,Card,Medium,<2k,616.91,1
285,30-49,Others,Phone Call,Phone,0,Card,Low,<2k,571.47,1
286,20-29,E-commerce,Phone Call,Phone,1,Bank Transfer,Low,2k-5k,2184.8,1
287,20-29,Fake Friend Call,Phone Call,Phone,1,Bank Transfer,Low,10k-50k,13392.01,1
288,50-64,Phishing,Social Media,Facebook,1,Bank Transfer,Medium,<2k,634.7,1
289,50-64,Job,Messaging,Telegram,1,Bank Transfer,Medium,10k-50k,31782.81,1
290,65+,Insurance Services,Messaging,Telegram,1,Bank Transfer,Low,5k-10k,7791.49,1
291,30-49,Sexual Services,Messaging,Facebook Messenger,1,E-wallet,Low,<2k,450.22,1
292,65+,Investment,Dating App/Website,Dating Platform,1,Crypto,Medium,10k-50k,19930.89,1
293,50-64,Others,Phone Call,Phone,1,E-wallet,Medium,2k-5k,2174.61,1
294,65+,E-commerce,Online Shopping Platform,Facebook Marketplace,0,Card,Low,5k-10k,8741.01,1
295,65+,Phishing,Social Media,Facebook,1,Card,Medium,50k-100k,65756.76,1
296,65+,Others,Social Media,Facebook,0,Bank Transfer,Medium,<2k,465.12,1
297,30-49,E-commerce,Online Shopping Platform,TikTok Shop,1,E-wallet,Low,5k-10k,8407.82,1
298,20-29,Phishing,Phone Call,Phone,0,Card,Medium,50k-100k,87675.21,1
299,30-49,Others,Messaging,WhatsApp,1,Bank Transfer,High,<2k,1303.5,1
300,20-29,Investment,Other Website,Website,1,Bank Transfer,High,<2k,899.22,1
301,20-29,Job,Social Media,Facebook,0,Bank Transfer,High,2k-5k,2256.6,1
302,30-49,Others,Online Shopping Platform,Carousell,1,Bank Transfer,Low,2k-5k,4211.8,1
303,65+,Government Impersonation,Phone Call,Phone,1,Cash/Valuables,High,10k-50k,34665.84,1
304,50-64,Phishing,Messaging,WhatsApp,1,Card,Low,<2k,1732.39,1
305,<20,Job,Classified Ads,Classifieds,1,E-wallet,Medium,<2k,558.22,1
306,30-49,Sexual Services,Messaging,Telegram,1,Bank Transfer,High,2k-5k,4838.82,1
307,20-29,E-commerce,Social Media,Facebook,1,Card,Medium,<2k,591.0,1
308,50-64,Investment,Other Website,Website,1,Crypto,Medium,5k-10k,7531.91,1
309,50-64,Government Impersonation,Messaging,WhatsApp,1,Bank Transfer,High,10k-50k,34272.1,1
310,30-49,Government Impersonation,Phone Call,Phone,1,Bank Transfer,Medium,100k+,264101.7,1
311,30-49,Government Impersonation,Messaging,Other Messaging,1,Cash/Valuables,High,10k-50k,19716.59,1
